coverage_id,pool_id,peptide_id,plate_id,well_id
coverage_1,pool_1,peptide_18,1,A1
coverage_1,pool_1,peptide_19,1,A1
coverage_1,pool_1,peptide_34,1,A1
coverage_1,pool_1,peptide_51,1,A1
coverage_1,pool_1,peptide_95,1,A1
coverage_1,pool_2,peptide_59,1,A12
coverage_1,pool_2,peptide_72,1,A12
coverage_1,pool_2,peptide_87,1,A12
coverage_1,pool_2,peptide_96,1,A12
coverage_1,pool_2,peptide_98,1,A12
coverage_1,pool_3,peptide_8,1,B11
coverage_1,pool_3,peptide_28,1,B11
coverage_1,pool_3,peptide_36,1,B11
coverage_1,pool_3,peptide_40,1,B11
coverage_1,pool_3,peptide_82,1,B11
coverage_1,pool_4,peptide_11,1,C10
coverage_1,pool_4,peptide_26,1,C10
coverage_1,pool_4,peptide_33,1,C10
coverage_1,pool_4,peptide_44,1,C10
coverage_1,pool_4,peptide_66,1,C10
coverage_1,pool_5,peptide_43,1,D9
coverage_1,pool_5,peptide_74,1,D9
coverage_1,pool_5,peptide_83,1,D9
coverage_1,pool_5,peptide_91,1,D9
coverage_1,pool_5,peptide_99,1,D9
coverage_1,pool_6,peptide_5,1,E8
coverage_1,pool_6,peptide_9,1,E8
coverage_1,pool_6,peptide_37,1,E8
coverage_1,pool_6,peptide_53,1,E8
coverage_1,pool_6,peptide_71,1,E8
coverage_1,pool_7,peptide_2,1,F7
coverage_1,pool_7,peptide_14,1,F7
coverage_1,pool_7,peptide_24,1,F7
coverage_1,pool_7,peptide_29,1,F7
coverage_1,pool_7,peptide_32,1,F7
coverage_1,pool_8,peptide_25,1,G6
coverage_1,pool_8,peptide_31,1,G6
coverage_1,pool_8,peptide_57,1,G6
coverage_1,pool_8,peptide_69,1,G6
coverage_1,pool_8,peptide_88,1,G6
coverage_1,pool_9,peptide_4,1,G8
coverage_1,pool_9,peptide_16,1,G8
coverage_1,pool_9,peptide_39,1,G8
coverage_1,pool_9,peptide_58,1,G8
coverage_1,pool_9,peptide_77,1,G8
coverage_1,pool_10,peptide_41,1,A2
coverage_1,pool_10,peptide_50,1,A2
coverage_1,pool_10,peptide_73,1,A2
coverage_1,pool_10,peptide_78,1,A2
coverage_1,pool_10,peptide_84,1,A2
coverage_1,pool_11,peptide_48,1,A3
coverage_1,pool_11,peptide_49,1,A3
coverage_1,pool_11,peptide_54,1,A3
coverage_1,pool_11,peptide_60,1,A3
coverage_1,pool_11,peptide_79,1,A3
coverage_1,pool_12,peptide_27,1,A4
coverage_1,pool_12,peptide_38,1,A4
coverage_1,pool_12,peptide_46,1,A4
coverage_1,pool_12,peptide_64,1,A4
coverage_1,pool_12,peptide_68,1,A4
coverage_1,pool_13,peptide_76,1,A5
coverage_1,pool_13,peptide_80,1,A5
coverage_1,pool_13,peptide_81,1,A5
coverage_1,pool_13,peptide_90,1,A5
coverage_1,pool_13,peptide_93,1,A5
coverage_1,pool_14,peptide_21,1,A6
coverage_1,pool_14,peptide_42,1,A6
coverage_1,pool_14,peptide_47,1,A6
coverage_1,pool_14,peptide_56,1,A6
coverage_1,pool_14,peptide_63,1,A6
coverage_1,pool_15,peptide_7,1,A7
coverage_1,pool_15,peptide_15,1,A7
coverage_1,pool_15,peptide_17,1,A7
coverage_1,pool_15,peptide_20,1,A7
coverage_1,pool_15,peptide_86,1,A7
coverage_1,pool_16,peptide_1,1,A8
coverage_1,pool_16,peptide_3,1,A8
coverage_1,pool_16,peptide_22,1,A8
coverage_1,pool_16,peptide_62,1,A8
coverage_1,pool_16,peptide_67,1,A8
coverage_1,pool_17,peptide_6,1,A9
coverage_1,pool_17,peptide_13,1,A9
coverage_1,pool_17,peptide_30,1,A9
coverage_1,pool_17,peptide_61,1,A9
coverage_1,pool_17,peptide_97,1,A9
coverage_1,pool_18,peptide_65,1,A10
coverage_1,pool_18,peptide_70,1,A10
coverage_1,pool_18,peptide_75,1,A10
coverage_1,pool_18,peptide_92,1,A10
coverage_1,pool_18,peptide_100,1,A10
coverage_1,pool_19,peptide_10,1,A11
coverage_1,pool_19,peptide_23,1,A11
coverage_1,pool_19,peptide_45,1,A11
coverage_1,pool_19,peptide_55,1,A11
coverage_1,pool_19,peptide_85,1,A11
coverage_1,pool_20,peptide_12,1,B1
coverage_1,pool_20,peptide_35,1,B1
coverage_1,pool_20,peptide_52,1,B1
coverage_1,pool_20,peptide_89,1,B1
coverage_1,pool_20,peptide_94,1,B1
coverage_2,pool_21,peptide_4,1,B2
coverage_2,pool_21,peptide_7,1,B2
coverage_2,pool_21,peptide_8,1,B2
coverage_2,pool_21,peptide_9,1,B2
coverage_2,pool_21,peptide_12,1,B2
coverage_2,pool_22,peptide_3,1,B3
coverage_2,pool_22,peptide_32,1,B3
coverage_2,pool_22,peptide_33,1,B3
coverage_2,pool_22,peptide_34,1,B3
coverage_2,pool_22,peptide_38,1,B3
coverage_2,pool_23,peptide_6,1,B4
coverage_2,pool_23,peptide_23,1,B4
coverage_2,pool_23,peptide_58,1,B4
coverage_2,pool_23,peptide_68,1,B4
coverage_2,pool_23,peptide_84,1,B4
coverage_2,pool_24,peptide_5,1,B5
coverage_2,pool_24,peptide_65,1,B5
coverage_2,pool_24,peptide_66,1,B5
coverage_2,pool_24,peptide_73,1,B5
coverage_2,pool_24,peptide_76,1,B5
coverage_2,pool_25,peptide_10,1,B6
coverage_2,pool_25,peptide_13,1,B6
coverage_2,pool_25,peptide_49,1,B6
coverage_2,pool_25,peptide_71,1,B6
coverage_2,pool_25,peptide_72,1,B6
coverage_2,pool_26,peptide_11,1,B7
coverage_2,pool_26,peptide_28,1,B7
coverage_2,pool_26,peptide_52,1,B7
coverage_2,pool_26,peptide_55,1,B7
coverage_2,pool_26,peptide_64,1,B7
coverage_2,pool_27,peptide_16,1,B8
coverage_2,pool_27,peptide_21,1,B8
coverage_2,pool_27,peptide_88,1,B8
coverage_2,pool_27,peptide_94,1,B8
coverage_2,pool_27,peptide_97,1,B8
coverage_2,pool_28,peptide_41,1,B9
coverage_2,pool_28,peptide_42,1,B9
coverage_2,pool_28,peptide_85,1,B9
